"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Apr 12 10:58:59 CST 2023","Wed Apr 12 10:58:59 CST 2023","0","test_case.ProductManger","test_add_product","TestAddProduct","","","test_add_product[添加商品失败（name为空）]","
        :param :
        :return:
        "
"broken","Wed Apr 12 10:59:11 CST 2023","Wed Apr 12 10:59:11 CST 2023","0","test_case.UserManger","test_update_user_status","TestUpdateUserStatus","","","test_update_user_status[修改用户状态成功（state包含特殊字符）]","
        :param :
        :return:
        "
"broken","Wed Apr 12 10:59:09 CST 2023","Wed Apr 12 10:59:09 CST 2023","0","test_case.UserManger","test_login_user","TestLoginUser","","","test_login_user[用户登录失败（缺少username参数）]","
        :param :
        :return:
        "
"broken","Wed Apr 12 10:59:07 CST 2023","Wed Apr 12 10:59:07 CST 2023","0","test_case.UserManger","test_create_user","TestCreateUser","","","test_create_user[用户名包含中文、特殊字符]","
        :param :
        :return:
        "
"broken","Wed Apr 12 10:59:09 CST 2023","Wed Apr 12 10:59:09 CST 2023","0","test_case.UserManger","test_get_user_data_list","TestGetUserDataList","","","test_get_user_data_list[获取用户数据列表失败（修改pagenum参数）]","
        :param :
        :return:
        "
"broken","Wed Apr 12 10:59:09 CST 2023","Wed Apr 12 10:59:09 CST 2023","0","test_case.UserManger","test_login_user","TestLoginUser","","","test_login_user[用户登录失败（未创建用户）]","
        :param :
        :return:
        "
"broken","Wed Apr 12 10:59:05 CST 2023","Wed Apr 12 10:59:05 CST 2023","0","test_case.RoleManger","test_role_empower","TestRoleEmpower","","","test_role_empower[角色授权失败（roleId不存在）]","
        :param :
        :return:
        "
"broken","Wed Apr 12 10:59:04 CST 2023","Wed Apr 12 10:59:04 CST 2023","0","test_case.RoleManger","test_add_role","TestAddRole","","","test_add_role[添加角色失败（缺少roleName参数）]","
        :param :
        :return:
        "
"broken","Wed Apr 12 10:59:05 CST 2023","Wed Apr 12 10:59:05 CST 2023","0","test_case.RoleManger","test_role_empower","TestRoleEmpower","","","test_role_empower[角色授权失败（rids为空）]","
        :param :
        :return:
        "
"broken","Wed Apr 12 10:59:04 CST 2023","Wed Apr 12 10:59:04 CST 2023","0","test_case.RoleManger","test_delete_role_empower","TestDeleteRoleEmpower","","","test_delete_role_empower[删除角色指定权限失败（角色id不存在）]","
        :param :
        :return:
        "
"broken","Wed Apr 12 10:59:00 CST 2023","Wed Apr 12 10:59:00 CST 2023","0","test_case.ProductManger","test_add_product","TestAddProduct","","","test_add_product[添加商品成功（多出abc参数）]","
        :param :
        :return:
        "
"broken","Wed Apr 12 10:59:02 CST 2023","Wed Apr 12 10:59:02 CST 2023","0","test_case.ProductManger","test_edit_product","TestEditProduct","","","test_edit_product[编辑商品失败（缺少goods_price参数）]","
        :param :
        :return:
        "
"broken","Wed Apr 12 10:59:08 CST 2023","Wed Apr 12 10:59:08 CST 2023","0","test_case.UserManger","test_create_user","TestCreateUser","","","test_create_user[少参：缺少username]","
        :param :
        :return:
        "
"broken","Wed Apr 12 10:59:02 CST 2023","Wed Apr 12 10:59:02 CST 2023","0","test_case.ProductManger","test_edit_product","TestEditProduct","","","test_edit_product[编辑商品失败（没有参数）]","
        :param :
        :return:
        "
"broken","Wed Apr 12 10:59:03 CST 2023","Wed Apr 12 10:59:03 CST 2023","0","test_case.PurviewManger","test_get_all_purview_list","TestGetAllPurviewList","","","test_get_all_purview_list[获取所有权限树状展示成功]","
        :param :
        :return:
        "
"broken","Wed Apr 12 10:59:05 CST 2023","Wed Apr 12 10:59:05 CST 2023","0","test_case.RoleManger","test_role_empower","TestRoleEmpower","","","test_role_empower[角色授权成功（多出id参数）]","
        :param :
        :return:
        "
"broken","Wed Apr 12 10:59:04 CST 2023","Wed Apr 12 10:59:04 CST 2023","0","test_case.RoleManger","test_delete_role_empower","TestDeleteRoleEmpower","","","test_delete_role_empower[删除角色指定权限失败（权限id不存在）]","
        :param :
        :return:
        "
"broken","Wed Apr 12 10:59:07 CST 2023","Wed Apr 12 10:59:07 CST 2023","0","test_case.UserManger","test_create_user","TestCreateUser","","","test_create_user[密码为纯字母]","
        :param :
        :return:
        "
"broken","Wed Apr 12 10:59:02 CST 2023","Wed Apr 12 10:59:02 CST 2023","0","test_case.ProductManger","test_query_product_specified_id","TestQueryProductSpecifiedId","","","test_query_product_specified_id[查询指定ID的商品失败（不存在id）]","
        :param :
        :return:
        "
"broken","Wed Apr 12 10:59:05 CST 2023","Wed Apr 12 10:59:05 CST 2023","0","test_case.RoleManger","test_role_empower","TestRoleEmpower","","","test_role_empower[角色授权成功（rids包含特殊字符、汉字）]","
        :param :
        :return:
        "
"broken","Wed Apr 12 10:59:02 CST 2023","Wed Apr 12 10:59:02 CST 2023","0","test_case.ProductManger","test_edit_product","TestEditProduct","","","test_edit_product[编辑商品失败（多出abc参数）]","
        :param :
        :return:
        "
"broken","Wed Apr 12 10:59:08 CST 2023","Wed Apr 12 10:59:08 CST 2023","0","test_case.UserManger","test_get_user_data_list","TestGetUserDataList","","","test_get_user_data_list[获取用户数据列表成功]","
        :param :
        :return:
        "
